Comprobante;Origen - Nombre de base de datos;Fecha;Vendedor - Nombre;Lista de precios - Descripción;Proveedor - Nombre;Artículo - Descripción;Artículo - Código;Color - Código;Talle - Descripción;Item - Cantidad;Item - Monto Neto
FEN B 0028-00000408;CORDOBA;30/03/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;MG;1;25000
FEN B 0028-00000415;CORDOBA;31/03/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;MG;1;25000
FEN B 0028-00000204;CORDOBA;04/03/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;M;1;25000
FEN A 0028-00000142;CORDOBA;08/04/2026;Julieta Fernandez;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;G;3;59970
FEN B 0028-00000524;CORDOBA;13/04/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H2;MMG;5;85000
FEN B 0028-00000558;CORDOBA;15/04/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H2;MMG;-3;-51000
FEN A 0028-00000156;CORDOBA;15/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;2MG;1;13500
FEN A 0028-00000160;CORDOBA;16/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;2MG;2;27000
FEN A 0028-00000111;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;2MG;-3;-59970
FEN A 0028-00000110;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;2MG;-3;-59970
FEN A 0028-00000103;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;2MG;3;59970
CEN A 0028-00000010;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;2MG;3;59970
FEN A 0028-00000183;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;2MG;1;19990
FEN A 0028-00000183;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;2MG;1;13500
FEN A 0028-00000128;CORDOBA;04/04/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;2MG;1;25000
FEN A 0028-00000123;CORDOBA;31/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;2MG;1;17000
FEN A 0028-00000185;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;2MG;2;27000
FEN A 0028-00000019;CORDOBA;11/02/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;2MG;1;16150,0005
FEN B 0028-00000686;CORDOBA;29/04/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;3MG;1;17000
FEN B 0028-00000686;CORDOBA;29/04/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;3MG;1;25000
FEN B 0028-00000618;CORDOBA;22/04/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;3MG;1;17000
FEN B 0028-00000261;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;3MG;1;16150,0001
FEN B 0028-00000686;CORDOBA;29/04/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;3MG;1;25000
FEN B 0028-00000618;CORDOBA;22/04/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;3MG;1;17000
FEN B 0028-00000686;CORDOBA;29/04/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;3MG;1;17000
FEN B 0028-00000261;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;B1;3MG;1;16150,0001
FEN B 0028-00000524;CORDOBA;13/04/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;2MG;-1;-17000
FEN B 0028-00000338;CORDOBA;19/03/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;2MG;2;34000
FEN B 0028-00000553;CORDOBA;15/04/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;2MG;1;17000
FEN B 0028-00000176;CORDOBA;02/03/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;2MG;1;23737,3726
FEN A 0028-00000060;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;2MG;2;47500
FEN A 0028-00000105;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;G;1;19990
FEN A 0028-00000207;CORDOBA;04/05/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;G;8;159920
FEN B 0028-00000392;CORDOBA;27/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;G;1;17000
FEN B 0028-00000727;CORDOBA;04/05/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;G;1;17000
FEN A 0028-00000109;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;B1;G;1;13500
FEN B 0028-00000339;CORDOBA;20/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;B1;G;2;50000
FEN B 0028-00000247;CORDOBA;09/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;G;1;25000
FEN A 0028-00000058;CORDOBA;09/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;G;1;13500
FEN B 0028-00000137;CORDOBA;25/02/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;E1;G;1;25000
FEN B 0028-00000247;CORDOBA;09/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;E1;G;1;25000
FEN A 0028-00000048;CORDOBA;03/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;G;2;27000
FEN A 0028-00000049;CORDOBA;03/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;G;2;27000
CEN A 0028-00000003;CORDOBA;03/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;G;-2;-27000
FEN B 0028-00000604;CORDOBA;20/04/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;G;1;17000
FEN B 0028-00000253;CORDOBA;09/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA DAMA BASICA PIQUE PAMPERO;511138100;E1;G;-1;-22670,0163
FEN A 0028-00000111;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;G;-3;-59970
FEN A 0028-00000076;CORDOBA;17/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;G;1;19990
FEN A 0028-00000105;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA DAMA BASICA PIQUE PAMPERO;511138100;C4;G;2;39000
FEN A 0028-00000183;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;G;1;19990
FEN A 0028-00000183;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;G;1;13500
FEN A 0028-00000030;CORDOBA;21/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;G;2;27000
FEN B 0028-00000088;CORDOBA;18/02/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;G;1;16150
FEN B 0028-00000095;CORDOBA;19/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;G;2;27000
CEN A 0028-00000001;CORDOBA;09/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;MMG;-2;-39980
FEN A 0028-00000016;CORDOBA;09/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;MMG;2;39980
FEN A 0028-00000015;CORDOBA;09/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;MMG;2;39980
FEN B 0028-00000223;CORDOBA;06/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;MMG;1;23750
FEN A 0028-00000059;CORDOBA;09/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H3;MMG;1;13500
FEN B 0028-00000621;CORDOBA;22/04/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;MG;1;17000
FEN A 0028-00000160;CORDOBA;16/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MG;6;81000
FEN A 0028-00000030;CORDOBA;21/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MG;1;13500
FEN A 0028-00000183;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;MG;1;19990
FEN A 0028-00000076;CORDOBA;17/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;MG;1;19990
FEN A 0028-00000110;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;MG;-3;-59970
FEN A 0028-00000111;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;MG;3;59970
FEN A 0028-00000103;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;MG;3;59970
CEN A 0028-00000010;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;MG;3;59970
FEN A 0028-00000027;CORDOBA;19/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;MG;1;13500
FEN B 0028-00000426;CORDOBA;01/04/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;MG;1;25000
FEN A 0028-00000058;CORDOBA;09/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;3MG;2;27000
FEN A 0028-00000185;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;3MG;2;27000
FEN A 0028-00000128;CORDOBA;04/04/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;3MG;-1;-25000
FEN A 0028-00000126;CORDOBA;01/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;3MG;2;39980
FEN A 0028-00000111;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;3MG;3;59970
FEN A 0028-00000110;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;3MG;3;59970
CEN A 0028-00000010;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;3MG;-3;-59970
FEN B 0028-00000361;CORDOBA;21/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;3MG;1;25000
FEN B 0028-00000361;CORDOBA;21/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;3MG;1;17000
FEN A 0028-00000187;CORDOBA;27/04/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H2;CH;1;17000
FEN A 0028-00000027;CORDOBA;19/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;CH;7;94500
FEN A 0028-00000030;CORDOBA;21/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;CH;-7;-94500
FEN A 0028-00000183;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;CH;1;13500
FEN A 0028-00000183;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;CH;1;19990
FEN A 0028-00000160;CORDOBA;16/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;CH;2;27000
FEN B 0028-00000095;CORDOBA;19/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;CH;2;27000
FEN B 0028-00000260;CORDOBA;10/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;CH;1;17000
FEN A 0028-00000123;CORDOBA;31/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;CH;2;50000
FEN B 0028-00000446;CORDOBA;06/04/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA DAMA BASICA PIQUE PAMPERO;511138100;B1;CH;1;24000
FEN B 0028-00000260;CORDOBA;10/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;CH;1;17000
FEN B 0028-00000260;CORDOBA;10/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;B1;CH;1;17000
FEN A 0028-00000021;CORDOBA;12/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;CH;3;40500
FEN A 0028-00000095;CORDOBA;20/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;CH;1;13500
FEN B 0028-00000083;CORDOBA;17/02/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H2;MG;2;32300,0008
FEN B 0028-00000050;CORDOBA;09/02/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;MG;1;25000
FEN A 0028-00000097;CORDOBA;21/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;M;1;17000
FEN A 0028-00000097;CORDOBA;21/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H1;M;1;25000
FEN B 0028-00000286;CORDOBA;12/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;M;1;23750,0002
FEN B 0028-00000533;CORDOBA;13/04/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H2;M;2;34000
FEN B 0028-00000457;CORDOBA;06/04/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H2;M;1;17000
FEN B 0028-00000406;CORDOBA;28/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;M;1;17000
FEN B 0028-00000461;CORDOBA;06/04/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;M;1;17000
FEN B 0028-00000400;CORDOBA;28/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MMG;1;17000
FEN B 0028-00000216;CORDOBA;05/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MMG;2;34000
FEN B 0028-00000461;CORDOBA;06/04/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H2;M;1;17000
FEN A 0028-00000097;CORDOBA;21/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;M;1;25000
FEN B 0028-00000286;CORDOBA;12/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;M;1;23750,0002
FEN B 0028-00000269;CORDOBA;11/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;M;1;25000
FEN B 0028-00000364;CORDOBA;21/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H1;G;1;19000
FEN A 0028-00000158;CORDOBA;15/04/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H1;G;2;50000
FEN B 0028-00000195;CORDOBA;03/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;CHOMBA DAMA BASICA PIQUE PAMPERO;511138100;P4;G;1;22799,9985
FEN B 0028-00000050;CORDOBA;09/02/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;MG;1;25000
FEN B 0028-00000411;CORDOBA;30/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H2;MG;1;17000
FEN B 0028-00000216;CORDOBA;05/03/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H2;MMG;2;34000
FEN B 0028-00000033;CORDOBA;05/02/2026;Nicolas Urricelqui;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;MMG;1;17000
FEN B 0028-00000201;CORDOBA;04/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;H2;MG;1;25000
FEN B 0028-00000072;CORDOBA;13/02/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;E1;MG;1;25000
CEN A 0028-00000003;CORDOBA;03/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;MG;-2;-27000
FEN A 0028-00000048;CORDOBA;03/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;MG;2;27000
FEN A 0028-00000049;CORDOBA;03/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;MG;2;27000
FEN B 0028-00000201;CORDOBA;04/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;MG;1;25000
FEN A 0028-00000027;CORDOBA;19/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;MMG;1;13500
FEN A 0028-00000123;CORDOBA;31/03/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;E1;MMG;1;17000
FEN A 0028-00000095;CORDOBA;20/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;H1;M;2;27000
FEN A 0028-00000182;CORDOBA;23/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;MMG;6;81000
FEN A 0028-00000058;CORDOBA;09/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;MMG;1;13500
FEN A 0028-00000185;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;MMG;-4;-54000
FEN A 0028-00000126;CORDOBA;01/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;MMG;4;79960
FEN A 0028-00000164;CORDOBA;17/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;MMG;2;27000
FEN A 0028-00000164;CORDOBA;17/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;MG;2;27000
FEN A 0028-00000047;CORDOBA;03/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;MG;1;19990
FEN A 0028-00000207;CORDOBA;04/05/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;P4;MG;2;39980
FEN A 0028-00000182;CORDOBA;23/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;P4;MG;2;27000
FEN A 0028-00000160;CORDOBA;16/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MMG;2;27000
CEN A 0028-00000018;CORDOBA;29/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MMG;-2;-27000
FEN A 0028-00000103;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;MMG;3;59970
FEN A 0028-00000197;CORDOBA;29/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MMG;2;27000
FEN A 0028-00000200;CORDOBA;30/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MMG;2;27000
FEN A 0028-00000183;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MMG;1;13500
FEN A 0028-00000183;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;CHOMBA BASICA PIQUE PAMPERO;111138100;C4;MMG;1;19990
FEN A 0028-00000109;CORDOBA;27/03/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MMG;1;13500
FEN A 0028-00000020;CORDOBA;12/02/2026;Sofia Perazzo;MAYORISTA;Pampenorte S.R.L.;REMERA CARDADO JERSEY 24/1 PAMPERO;111140100;C4;MMG;1;12150,0003
FEN A 0028-00000187;CORDOBA;27/04/2026;Sofia Perazzo;PUBLICO;Pampenorte S.R.L.;CHOMBA DAMA BASICA PIQUE PAMPERO;511138100;H1;M;1;24000
